gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,overall score
,1,1,,,72,72,74,72.66666666666667
,2,4,,,69,90,88,82.33333333333333
,1,3,,,90,95,93,92.66666666666667
,0,0,,,47,57,44,49.333333333333336
,2,4,,,76,78,75,76.33333333333333
,1,0,,,71,83,78,77.33333333333333
,1,4,,,88,95,92,91.66666666666667
,1,4,,,40,43,39,40.666666666666664
,3,2,,,64,64,67,65.0
,1,2,,,38,60,50,49.333333333333336
,2,0,,,58,54,52,54.666666666666664
,3,0,,,40,52,43,45.0
,1,2,,,65,81,73,73.0
,0,4,,,78,72,70,73.33333333333333
,0,3,,,50,53,58,53.666666666666664
,2,5,,,69,75,78,74.0
,2,2,,,88,89,86,87.66666666666667
,1,5,,,18,32,28,26.0
,2,3,,,46,42,46,44.666666666666664
,2,0,,,54,58,61,57.666666666666664
,3,2,,,66,69,63,66.0
,1,4,,,65,75,70,70.0
,3,4,,,44,54,53,50.333333333333336
,2,5,,,69,73,73,71.66666666666667
,3,1,,,74,71,80,75.0
,0,3,,,73,74,72,73.0
,1,4,,,69,54,55,59.333333333333336
,2,1,,,67,69,75,70.33333333333333
,2,2,,,70,70,65,68.33333333333333
,3,3,,,62,70,75,69.0
,3,4,,,69,74,74,72.33333333333333
,1,4,,,63,65,61,63.0
,4,3,,,56,72,65,64.33333333333333
,3,4,,,40,42,38,40.0
,4,4,,,97,87,82,88.66666666666667
,4,0,,,81,81,79,80.33333333333333
,3,0,,,74,81,83,79.33333333333333
,3,5,,,50,64,59,57.666666666666664
,3,0,,,75,90,88,84.33333333333333
,1,0,,,57,56,57,56.666666666666664
,2,0,,,55,61,54,56.666666666666664
,2,0,,,58,73,68,66.33333333333333
,1,0,,,53,58,65,58.666666666666664
,1,4,,,59,65,66,63.333333333333336
,4,0,,,50,56,54,53.333333333333336
,1,0,,,65,54,57,58.666666666666664
,0,0,,,55,65,62,60.666666666666664
,2,2,,,66,71,76,71.0
,3,0,,,57,74,76,69.0
,2,2,,,82,84,82,82.66666666666667
,4,4,,,53,55,48,52.0
,4,0,,,77,69,68,71.33333333333333
,2,4,,,53,44,42,46.333333333333336
,3,2,,,88,78,75,80.33333333333333
,2,5,,,71,84,87,80.66666666666667
,2,2,,,33,41,43,39.0
,4,0,,,82,85,86,84.33333333333333
,3,0,,,52,55,49,52.0
,3,4,,,58,59,58,58.333333333333336
,2,5,,,0,17,10,9.0
,4,1,,,79,74,72,75.0
,0,5,,,39,39,34,37.333333333333336
,0,0,,,62,61,55,59.333333333333336
,2,0,,,69,80,71,73.33333333333333
,3,5,,,59,58,59,58.666666666666664
,1,5,,,67,64,61,64.0
,3,5,,,45,37,37,39.666666666666664
,2,4,,,60,72,74,68.66666666666667
,1,0,,,61,58,56,58.333333333333336
,2,0,,,39,64,57,53.333333333333336
,3,4,,,58,63,73,64.66666666666667
,3,4,,,63,55,63,60.333333333333336
,0,0,,,41,51,48,46.666666666666664
,2,5,,,61,57,56,58.0
,2,5,,,49,49,41,46.333333333333336
,1,0,,,44,41,38,41.0
,4,5,,,30,26,22,26.0
,0,1,,,80,78,81,79.66666666666667
,3,5,,,61,74,72,69.0
,4,3,,,62,68,68,66.0
,1,0,,,47,49,50,48.666666666666664
,1,2,,,49,45,45,46.333333333333336
,0,4,,,50,47,54,50.333333333333336
,4,0,,,72,64,63,66.33333333333333
,3,2,,,42,39,34,38.333333333333336
,2,4,,,73,80,82,78.33333333333333
,2,4,,,76,83,88,82.33333333333333
,3,0,,,71,71,74,72.0
,0,4,,,58,70,67,65.0
,3,5,,,73,86,82,80.33333333333333
,2,1,,,65,72,74,70.33333333333333
,2,2,,,27,34,36,32.333333333333336
,2,2,,,71,79,71,73.66666666666667
,2,0,,,43,45,50,46.0
,1,4,,,79,86,92,85.66666666666667
,2,0,,,78,81,82,80.33333333333333
,1,5,,,65,66,62,64.33333333333333
,4,4,,,63,72,70,68.33333333333333
,3,4,,,58,67,62,62.333333333333336
,3,1,,,65,67,62,64.66666666666667
,1,4,,,79,67,67,71.0
,3,1,,,68,74,74,72.0
,3,0,,,85,91,89,88.33333333333333
,1,2,,,60,44,47,50.333333333333336
,2,4,,,98,86,90,91.33333333333333
,2,4,,,58,67,72,65.66666666666667
,3,3,,,87,100,100,95.66666666666667
,4,0,,,66,63,64,64.33333333333333
,1,0,,,52,76,70,66.0
,1,5,,,70,64,72,68.66666666666667
,3,0,,,77,89,98,88.0
,2,2,,,62,55,49,55.333333333333336
,0,0,,,54,53,47,51.333333333333336
,3,4,,,51,58,54,54.333333333333336
,4,1,,,99,100,100,99.66666666666667
,2,2,,,84,77,74,78.33333333333333
,1,1,,,75,85,82,80.66666666666667
,3,1,,,78,82,79,79.66666666666667
,3,5,,,51,63,61,58.333333333333336
,2,4,,,55,69,65,63.0
,2,1,,,79,92,89,86.66666666666667
,1,0,,,91,89,92,90.66666666666667
,2,4,,,88,93,93,91.33333333333333
,3,2,,,63,57,56,58.666666666666664
,4,4,,,83,80,73,78.66666666666667
,1,2,,,87,95,86,89.33333333333333
,1,5,,,72,68,67,69.0
,3,4,,,65,77,74,72.0
,3,3,,,82,82,74,79.33333333333333
,0,1,,,51,49,51,50.333333333333336
,3,3,,,89,84,82,85.0
,2,5,,,53,37,40,43.333333333333336
,4,4,,,87,74,70,77.0
,2,4,,,75,81,84,80.0
,3,1,,,74,79,75,76.0
,2,1,,,58,55,48,53.666666666666664
,1,5,,,51,54,41,48.666666666666664
,4,2,,,70,55,56,60.333333333333336
,2,0,,,59,66,67,64.0
,3,4,,,71,61,69,67.0
,3,5,,,76,72,71,73.0
,2,4,,,59,62,64,61.666666666666664
,4,4,,,42,55,54,50.333333333333336
,0,2,,,57,43,47,49.0
,3,4,,,88,73,78,79.66666666666667
,2,4,,,22,39,33,31.333333333333332
,1,5,,,88,84,75,82.33333333333333
,2,0,,,73,68,66,69.0
,3,1,,,68,75,81,74.66666666666667
